,fluxes,equ,ec-code,kcat_MW,E
R1,9.926297545843909,glc__D_e --> 0.67 BDGLC_e + 0.33 glc__aD_e,,,
R2,0.0,glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c,,,
R3,3.2756781901379406,Glc_aD_c --> BDGLC_c,5.1.3.3,58336.03559,5.615188205726238e-05
R4,0.0,arab__L_c --> BLARAB_c,5.1.3.3,58336.03559,0.0
R5,0.0,fru_B_c --> fru_c,5.1.3.3,42045.89013,0.0
R6_num1,9.926297545853359,BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c,"2.7.1.1,2.7.1.2",101062.86154957894,9.821904301595263e-05
R7,8.92239629915654,g6p_B_c --> f6p_c,5.3.1.9,196075.71050408593,4.550485257056157e-05
R8,0.0,cit_m --> ac_m + oaa_m,4.1.3.6,,
R9,12.556311616270591,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,1200.440609,0.010459752462664807
R10_num1,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,"1.1.1.1,1.1.1.71",2066.7784469999997,0.0
R11_num1,0.0,etoh_c + nadp_c --> acald_c + h_c + nadph_c,"1.1.1.2,1.1.1.71",406.9414145,0.0
R12_num1,0.0,etoh_m + nad_m --> acald_m + h_m + nadh_m,"1.1.1.1,1.1.1.71",5438.521507,0.0
R13,0.0,h_m + nadh_m + q_m --> nad_m + qh2_m,1.6.5.9,798.6445052,0.0
R14,0.0,h_c + nadh_c + q_m --> nad_c + qh2_m,1.6.5.9,798.6445052,0.0
R15_num1,0.0,2.0 ficytC_m + nadph_c --> 2.0 FERO_m + h_c + nadp_c,1.6.2.4,393.40895539999997,0.0
R16,0.0,h_c + nadph_c + q_m --> nadp_c + qh2_m,1.6.99.1,211.5591185,0.0
R17,0.0,fadh2_m + q_m --> fad_m + h_m + qh2_m,1.5.5.1,525.8657703,0.0
R18_num1,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,1.15.1.1,3685.591774,0.0
R19_num1,0.0,2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m,1.15.1.1,3685.591774,0.0
R20_num1,0.0,h_c + nadph_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nadp_c,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",2445.295907,0.0
R21_num1,0.7604812467727006,h_c + nadh_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nad_c,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",2595.304834,0.0002930219359244258
R22_num1,0.3008120008120889,BCCP_c + atp_c + co2_c + h2o_c --> adp_c + carP_c + 2.0 h_c + pi_c,6.3.4.14,556.8120062999999,0.0005402397890285739
R23,0.0,chols_c + h2o_c --> chol_c + h_c + so4_c,3.1.6.6,174.20465349999995,0.0
R24,0.004837870462939431,h2o_c + pap_c --> amp_c + pi_c,"3.1.3.7,3.1.3.97",894.3099235,5.409612859942095e-06
R25,0.333646238823409,0.2619 atp_c + 0.0187 damp_c + 0.01982 dcmp_c + 0.01982 dgmp_c + 0.0187 dtmp_c + 0.1849 h2o_c --> DNA_c + 0.2619 adp_c + 0.2619 pi_c,"2.7.7.7,2.7.7.31,2.7.7.49",1970.6976633466736,0.0001693036151759601
R26_num1,0.0,accoa_m + crn_m --> acrn_m + coa_m,2.3.1.7,1430.499114,0.0
R27_num1,0.0,accoa_c + crn_c --> acrn_c + coa_c,2.3.1.7,1430.499114,0.0
R28_num1,0.0,dhap_c + h2o_c --> dha_c + pi_c,"3.1.3.1,3.1.3.2",1162.294011,0.0
R29,0.0,acald_c + thmpp_c --> 2ahethmpp_c,4.1.1.1,477.04347800000005,0.0
R30,0.0,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,2.7.9.2,101.70971479999999,0.0
R31_num1,0.0,h2o_c + nad_c + ppal_c --> PROP_c + 2.0 h_c + nadh_c,"1.2.1.3,1.2.1.5",1537.459095,0.0
R32_num1,0.0,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,"1.2.1.3,1.2.1.5",1248.25753,0.0
R33_num1,0.0,acald_m + h2o_m + nad_m --> ac_m + 2.0 h_m + nadh_m,"1.2.1.3,1.2.1.5",1248.25753,0.0
R34_num1,0.0,acald_m + h2o_m + nadp_m --> ac_m + 2.0 h_m + nadph_m,"1.2.1.4,1.2.1.5,1.2.1.-",466.4829535,0.0
R35_num1,0.0,h_c + nadh_c + pyr_c --> lac__L_c + nad_c,1.1.1.27,43121.81525,0.0
R36_num1,0.0,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40,1272.1633960000001,0.0
R37,0.0,fdp_B_c + h2o_c --> f6p_c + pi_c,3.1.3.11,968.787134,0.0
R38,0.0,g6p_c --> g6p_A_c,5.1.3.15,3869.592366,0.0
R39,0.0,g6p_A_c --> g6p_B_c,5.1.3.15,3869.592366,0.0
R40,18.128321668305926,2pg_c --> h2o_c + pep_c,4.2.1.11,1742.6545170000006,0.010402705465403455
R41_num1,0.0,ac_m + atp_m + coa_m --> accoa_m + amp_m + ppi_m,6.2.1.1,1696.5778329999994,0.0
R42_num1,0.0,3pg_c --> 2pg_c,"5.4.2.11,5.4.2.12",5606.752885,0.0
R43_num1,0.0,dhap_c --> g3p_c,5.3.1.1,301.1186600000001,0.0
R44,0.0,C15973_m + nad_m --> LIPO_m + h_m + nadh_m,1.8.1.4,8233.893076,0.0
R45,0.0,atp_c + oaa_c --> adp_c + co2_c + pep_c,4.1.1.49,913.2827764,0.0
R46,4.06492498657642,coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m,1.2.4.1,334.54962288050564,0.012150439601686023
R47,0.0,2ahethmpp_m + LIPO_m --> adhlam_m + thmpp_m,1.2.4.1,503.52583070000003,0.0
R48,0.0,h_m + pyr_m + thmpp_m --> 2ahethmpp_m + co2_m,1.2.4.1,246.4559372,0.0
R49,0.0,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,,491.4580089,0.0
R50,18.13008999337169,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,"1.2.1.12,1.2.1.59",24759.805924098746,0.0007322387763841741
R51,18.13008999337169,13dpg_c + adp_c --> 3pg_c + atp_c,2.7.2.3,14639.8217,0.0012384092077686773
R52,0.0,R5P_c --> r1p_c,"5.4.2.2,5.4.2.7",8326.522564,0.0
R53_num1,0.0,R5P_c + atp_c --> amp_c + h_c + prpp_c,2.7.6.1,337.5154372,0.0
R54,0.25552032453067997,ru5p__D_c --> xu5p__D_c,5.1.3.1,941860.4192264208,2.712931972877114e-07
R55,0.5277176785431146,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,"1.1.1.49,1.1.1.363",495843.2666980815,1.0642832402611637e-06
R56_num1,0.0,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,"1.1.1.44,1.1.1.351",2034.067669,0.0
R58,0.0,R5P_c --> ru5p__D_c,5.3.1.6,20876.3731,0.0
R59_num1,0.0,pi_c + xu5p__D_c --> actp_c + g3p_c + h2o_c,4.1.2.9,306.8433602,0.0
R60,0.5277176785431146,6pgl_c + h2o_c --> 6pgc_c + h_c,3.1.1.31,2017.1196109999998,0.0002616194278541049
R61,0.17136772567955955,R5P_c + xu5p__D_c --> g3p_c + s7p_c,"2.2.1.1,2.2.1.3",390.6007317,0.00043872863456686546
