Entry,Gene Names
G2Q147,MYCTH_2298190
G2QFP4,MYCTH_2307409
G2QG48,MYCTH_102971
G2QMW9,MYCTH_2312474
G2QND5,MYCTH_96478
G2QNH0,MYCTH_2316753
G2Q0G3,MYCTH_2296073
G2Q3U9,MYCTH_2314176
G2Q4H7,MYCTH_99077
G2Q5S4,MYCTH_2295614
G2Q605,MYCTH_2297503
G2Q630,MYCTH_2299427
G2Q7C5,MYCTH_2300482
G2Q8E3,MYCTH_2302775
G2Q9A5,MYCTH_78013
G2Q9C0,MYCTH_2301226
G2Q9T3,MYCTH_46583
G2QAI0,MYCTH_2300159
G2QAW9,MYCTH_2302034
G2QBB5,MYCTH_2304561
G2QBV0,MYCTH_115624
G2QCB0,MYCTH_2303251
G2QCS4,MYCTH_111372
G2QFD0,MYCTH_2063133
G2QI25,MYCTH_2309210
G2QJG6,MYCTH_2139989
G2QJR6,MYCTH_55568
G2QK54,MYCTH_2308682
G2QKA5,MYCTH_2308790
G2QPP1,MYCTH_2316525
G2PZN1,MYCTH_2294003
G2PZU9,MYCTH_2295948
G2PZZ6,MYCTH_2297869
G2Q038,MYCTH_2297984
G2Q0G1,MYCTH_2296069
G2Q0H7,MYCTH_2296109
G2Q0K2,MYCTH_2296153
G2Q0R9,MYCTH_2294261
G2Q0V9,MYCTH_2294347
G2Q0X6,MYCTH_2296179
G2Q0Y8,MYCTH_2296210
G2Q104,MYCTH_2296247
G2Q122,MYCTH_2298121
G2Q1G0,MYCTH_63343
G2Q1G3,MYCTH_2296376
G2Q1H8,MYCTH_2296412
G2Q1I1,MYCTH_2296424
G2Q1I5,MYCTH_2298247
G2Q1K0,MYCTH_2298287
G2Q1N4,MYCTH_38558
G2Q1P1,MYCTH_2294483
G2Q1W0,MYCTH_2296480
G2Q275,MYCTH_2294679
G2Q2B2,MYCTH_2296595
G2Q2D7,MYCTH_77206
G2Q2E9,MYCTH_2313750
G2Q2I2,MYCTH_2298562
G2Q2N1,MYCTH_2294784
