,kcat,MW,kcat_MW
R3,6388.523809523809,36793.97690000002,625066.5911106146
R4,6388.523809523809,36793.97690000002,625066.5911106146
R5,6388.523809523809,36793.97690000002,625066.5911106146
R6_num1,49.14213015873016,53147.119700000054,3328.716016409604
R7,3035.356,61139.648400000224,178726.60190175317
R9,46.38666666666666,63735.68490000021,2620.07069135613
R10_num1,398.7514018181818,40044.495399999985,35847.74966462569
R11_num1,1406.3732352941176,34586.33970000005,146385.64505450736
R12_num1,398.7514018181818,39878.56180000005,35996.91116607552
R13,0.031,142620.4546000007,0.7824964540535089
R14,0.031,142620.4546000007,0.7824964540535089
R15_num1,76.59988214285714,119375.95460000072,2310.0093870519217
R16,59.07555555555555,39657.23840000002,5362.753650541635
R17,84.6103448275862,70567.07110000016,4316.421762037813
R18_num1,50519.8,26105.049499999986,6966900.407524609
R19_num1,50519.8,26105.049499999986,6966900.407524609
R20_num1,376.91429285714287,295191.07200000016,4596.654787329454
R21_num1,376.91429285714287,295191.07200000016,4596.654787329454
R22_num1,68.05796888893333,127975.06160000058,1914.5033800879128
R23,0.38737499999999997,63320.98380000019,22.02350494750203
R24,9.287805555555556,37416.957500000004,893.6081989028637
R25,2909.3301621213636,1824937.4658000066,5739.149302327218
R26_num1,42.53666666666667,69353.78750000036,2207.9832337923754
R27_num1,42.53666666666667,69353.78750000036,2207.9832337923754
R28_num1,5986.0,53445.10480000009,403209.98678254936
R29,46.38666666666666,63735.68490000021,2620.07069135613
R30,457.7244,93075.00290000069,17704.08583033187
R31_num1,21.31858244197531,53406.40820000009,1437.0353554521755
R32_num1,21.31858244197531,53406.40820000009,1437.0353554521755
R33_num1,21.31858244197531,53406.40820000009,1437.0353554521755
R34_num1,78.25,54104.27800000002,5206.612312616017
R35_num1,526.243422754717,34693.54950000003,54606.01031661461
R36_num1,123.58679238095237,102745.7960000007,4330.225370694734
R37,40.06195652173913,37571.311100000006,3838.6481401832375
R38,1198.0,34809.62470000003,123896.76812574186
R39,1198.0,34809.62470000003,123896.76812574186
R40,67.41973846153846,47562.366500000004,5103.0063540160145
R41_num1,424.1152962962963,73876.4409000003,20667.144329995197
R42_num1,314.26250245555553,56793.678000000065,19920.263111679415
R43_num1,6178.6,54038.83240000004,411610.66981158504
R44,486.27272727272725,54097.474900000045,32359.769497888643
R45,24.021428571428572,65626.64790000017,1317.7138498512682
R46,51.618541666666665,5229717.447600003,35.53284701552638
R47,51.618541666666665,86752.08170000001,2142.043699223416
R48,51.618541666666665,86752.08170000001,2142.043699223416
R49,6123.455026703805,63735.68490000021,345872.77332503605
R50,87.84949363636363,145251.54240000006,2177.3137266934036
R51,177.7499122806842,44477.713000000054,14386.97363352433
R52,134.899,59945.162000000135,8101.344358699021
R53_num1,63.17636363636364,34835.46050000002,6528.833143770525
R54,1397.8567692307693,27137.779099999985,185434.64263185678
R55,189.08235294117648,58082.87000000008,11719.401444664054
R56_num1,25.003357142857144,85011.60360000058,1058.8211714934066
R58,1918.84544,29448.432500000003,234574.23698188347
R59_num1,201.31666666666666,92730.46750000039,7815.554256749509
R60,14.3,28164.810100000006,1827.8127854304257
R61,16.79775,149842.11560000054,403.57078354011026
R62_num1,178.09,35184.90020000005,18221.566534385085
R63,16.79775,149842.11560000054,403.57078354011026
R64,16.708571428571428,37918.63710000003,1586.3137956204944
R65_num1,17.8375,28260.101499999975,2272.2848323810886
R66_num1,32.8120355,28260.101499999975,4179.862121160467
R67,9.4,23994.907200000005,1410.2992655041396
R68_num1,6123.455026703805,51116.66670000007,431257.3475401061
R70,660.0,33614.892900000006,70682.95612508108
R71,238.1,65584.21970000016,13069.607352513762
R72,403.758,58082.87000000008,25025.085709435465
R74,16.693666666666665,58225.97569999998,1032.1372768339888
R75_num1,113.1545053548387,40239.80699999999,10123.215036230651
R76,53.665,30868.20670000003,6258.672616702408
R77,2.5763636363636366,46213.66390000004,200.6962510260755
R78_num1,16.830833333333334,53406.40820000009,1134.5267738862824
R79_num1,3.5880597213483147,34586.33970000005,373.4715818122238
R80_num1,15.195485714285715,40239.80699999999,1359.4436119295647
R81_num1,16.725454545454546,31551.0372,1908.3884939172892
R82_num1,53846.0,34586.33970000005,5604686.754406675
R83_num1,16.725454545454546,31551.0372,1908.3884939172892
R84_num1,456.4984615384615,34586.33970000005,47515.709259585485
R85,551.6364285714286,63549.35000000015,31249.590166652186
R86,93.25,29481.5155,11386.795906065276
R87,93.25,29481.5155,11386.795906065276
R88,58.98,189788.74040000042,1118.7597301741696
R89_num1,109.42,35670.78540000002,11042.986454680075
R90,6123.455026703805,50980.39689999999,432410.09165492986
R91,6123.455026703805,50980.39689999999,432410.09165492986
R92,626.1715384615385,50980.39689999999,44217.33990975537
R95_num1,6.2250000000000005,42410.008400000086,528.4130054546266
R96,1.8665,33319.57440000005,201.66524095817954
R97_num1,55.75,34589.94300000003,5802.264548397777
R98_num1,6123.455026703805,34586.33970000005,637374.1276858408
R99_num1,3.5880597213483147,34586.33970000005,373.4715818122238
R101_num1,0.0225,17667.820799999987,4.584606155842381
R102,6123.455026703805,33614.892900000006,655793.7924036549
R103,21.676190476190477,42875.03350000005,1820.0402272405368
R104,15041.450770515385,70471.74339999996,768382.0516047488
R105,15041.450770515385,37819.247800000005,1431790.051991869
R106,15041.450770515385,68776.71859999995,787319.0794225449
R107,16.40950909090909,127975.06160000058,461.6073787244222
R108,16.40950909090909,81073.48330000033,728.6504825341887
R109,203.58333333333334,57701.90490000006,12701.487087300635
R110,203.58333333333334,51409.00970000007,14256.255941845133
R111,195.17796226415095,141845.55040000015,4953.561547538982
R112,66.88433333333333,165964.27660000022,1450.8158317727978
R113,0.0139,165964.27660000022,0.3015106685916765
R114_num1,101.37576363636363,52536.62650000003,6946.634631953555
R117_num1,20.86952380952381,165970.05000000005,452.6737547785621
