,Entry,Gene Names_x,Entry Name,Protein names,Organism,Mass
0,G2Q147,MYCTH_2298190,G2Q147_THET4,Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),64223
1,G2QFP4,MYCTH_2307409,G2QFP4_THET4,E3 ubiquitin-protein ligase (EC 2.3.2.26),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),91953
2,G2QG48,MYCTH_102971,XYLO_THET4,Xylooligosaccharide oxidase (XOS) (EC 1.1.3.-),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),54324
3,G2QMW9,MYCTH_2312474,G2QMW9_THET4,Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)],Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),170296
4,G2QND5,MYCTH_96478,FAEB_THET4,Feruloyl esterase B (EC 3.1.1.73) (Cinnamoyl esterase) (Ferulic acid esterase B) (FAEB),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),31372
5,G2QNH0,MYCTH_2316753,ADT_THET4,ADP/ATP translocase (ADP/ATP carrier) (TtAac),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),34000
6,G2Q0G3,MYCTH_2296073,G2Q0G3_THET4,Proliferating cell nuclear antigen,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),28538
7,G2Q3U9,MYCTH_2314176,G2Q3U9_THET4,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),71255
8,G2Q4H7,MYCTH_99077,MA26A_THET4,"Mannan endo-1,4-beta-mannosidase (EC 3.2.1.-) (Endo-(1,4)-beta-mannanase) (GH26 family endo-beta-mannanase)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),52766
9,G2Q5S4,MYCTH_2295614,G2Q5S4_THET4,Adenylyltransferase and sulfurtransferase uba4 (Common component for nitrate reductase and xanthine dehydrogenase protein F) (Ubiquitin-like protein activator 4) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase uba4) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfurtransferase uba4) (Sulfur carrier protein MOCS2A sulfurtransferase)],Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),49616
